season,home_team,home_conference,home_score,away_team,away_conference,away_score,lines,spread,formatted_spread,spread_open,over_under,
2016.0,Troy,Sun Belt,28.0,Ohio,Mid-American,23.0,1,-6.0,Troy,,49.5,
2016.0,Boston College,ACC,36.0,Maryland,Big Ten,30.0,0,1.0,Maryland,,43.5,
2016.0,NC State,SEC,41.0,Vanderbilt,ACC,17.0,1,6.5,NC State,,46.5,
2016.0,Wake Forest,ACC,34.0,Temple,American Athletic,26.0,0,10.5,Temple,,41.5,
2016.0,Army,Conference USA,38.0,North Texas,FBS Independents,31.0,1,10.5,Army,,47.0,
2016.0,Miami,ACC,31.0,West Virginia,Big 12,14.0,1,-3.0,Miami,,57.5,
2016.0,Utah,Pac-12,26.0,Indiana,Big Ten,24.0,1,-3.5,Utah,,54.0,
2016.0,Northwestern,Big Ten,31.0,Pittsburgh,ACC,24.0,0,3.5,Pittsburgh,,63.0,
2016.0,Kansas State,Big 12,33.0,Texas A&M,SEC,28.0,0,4.0,Texas A&M,,56.0,
2016.0,Oklahoma State,Pac-12,38.0,Colorado,Big 12,8.0,0,-3.0,Colorado,,64.0,
2016.0,New Mexico,Conference USA,23.0,UT San Antonio,Mountain West,20.0,1,9.0,New Mexico,,54.0,
2016.0,Western Kentucky,Conference USA,51.0,Memphis,American Athletic,31.0,1,-6.5,Western Kentucky,,78.5,
2016.0,USC,Big Ten,52.0,Penn State,Pac-12,49.0,1,7.0,USC,,59.5,
2016.0,San Diego State,Mountain West,34.0,Houston,American Athletic,10.0,0,4.5,Houston,,50.5,
2016.0,Arkansas State,American Athletic,31.0,UCF,Sun Belt,13.0,0,-4.0,UCF,,51.0,
2016.0,Tulsa,American Athletic,55.0,Central Michigan,Mid-American,10.0,1,-13.0,Tulsa,,67.5,
2016.0,Mississippi State,SEC,17.0,Miami (OH),Mid-American,16.0,1,-14.5,Mississippi State,,57.5,
2016.0,Virginia Tech,ACC,35.0,Arkansas,SEC,24.0,1,-7.5,Virginia Tech,,61.0,
2016.0,South Florida,SEC,46.0,South Carolina,American Athletic,39.0,1,10.0,South Florida,,58.0,
2016.0,Florida State,ACC,33.0,Michigan,Big Ten,32.0,0,7.0,Michigan,,50.5,
2016.0,Stanford,ACC,25.0,North Carolina,Pac-12,23.0,1,2.5,Stanford,,54.5,
2016.0,Georgia,Big 12,31.0,TCU,SEC,23.0,0,-3.0,TCU,,48.5,
2016.0,Alabama,SEC,24.0,Washington,Pac-12,7.0,1,-12.5,Alabama,,50.5,
2016.0,Clemson,ACC,31.0,Ohio State,Big Ten,0.0,0,1.0,Ohio State,,56.0,
2016.0,LSU,ACC,29.0,Louisville,SEC,9.0,1,3.0,LSU,,59.5,
2016.0,Georgia Tech,SEC,33.0,Kentucky,ACC,18.0,1,3.0,Georgia Tech,,61.0,
2016.0,Tennessee,SEC,38.0,Nebraska,Big Ten,24.0,1,-9.5,Tennessee,,59.0,
,,,,,,,0.6341463414634146,,,,,
2017.0,Middle Tennessee,Sun Belt,35.0,Arkansas State,Conference USA,30.0,0,-3.0,Arkansas State,,60.5,
2017.0,Louisiana Tech,American Athletic,51.0,SMU,Conference USA,10.0,0,-4.0,SMU,,71.0,
2017.0,Boise State,Pac-12,38.0,Oregon,Mountain West,28.0,0,-7.0,Oregon,,62.5,
2017.0,Troy,Conference USA,50.0,North Texas,Sun Belt,30.0,1,4.5,Troy,,62.0,
2017.0,Alabama,SEC,26.0,Georgia,SEC,23.0,1,3.5,Alabama,,45.5,
2017.0,Alabama,ACC,24.0,Clemson,SEC,6.0,1,3.5,Alabama,,46.5,
2017.0,Georgia,Big 12,54.0,Oklahoma,SEC,48.0,1,2.5,Georgia,,62.5,
2017.0,UCF,SEC,34.0,Auburn,American Athletic,27.0,0,-10.5,Auburn,,66.0,
2017.0,Notre Dame,SEC,21.0,LSU,FBS Independents,17.0,0,-2.0,LSU,,53.5,
